차품목,효능번호,카페인,향기준,contentId,"맛,향",personId
aa1293,1,X,1,101293,67aa126,1293
aa1294,4,O,1,101294,243aa103,1294
aa1295,4,O,3,101295,437aa122,1295
aa1296,2,O,5,101296,213aa10,1296
aa1297,3,O,1,101297,451aa3,1297
aa1298,2,X,2,101298,323aa122,1298
aa1299,3,O,4,101299,350aa100,1299
aa1300,2,X,4,101300,22aa21,1300
aa1301,3,X,5,101301,237aa27,1301
aa1302,1,X,4,101302,383aa141,1302
aa1303,2,X,1,101303,2aa40,1303
aa1304,1,X,4,101304,9aa1,1304
aa1305,4,X,5,101305,103aa128,1305
aa1306,4,X,3,101306,257aa46,1306
aa1307,4,O,2,101307,182aa2,1307
aa1308,3,X,1,101308,346aa141,1308
aa1309,3,O,1,101309,199aa125,1309
aa1310,1,X,5,101310,192aa117,1310
aa1311,2,O,5,101311,37aa47,1311
aa1312,2,O,2,101312,39aa48,1312
aa1313,2,O,4,101313,305aa42,1313
aa1314,1,O,1,101314,207aa113,1314
aa1315,4,X,5,101315,252aa66,1315
aa1316,2,O,2,101316,62aa127,1316
aa1317,4,O,5,101317,40aa65,1317
aa1318,4,X,4,101318,1aa94,1318
aa1319,3,X,5,101319,291aa18,1319
aa1320,1,O,2,101320,57aa55,1320
aa1321,2,O,4,101321,138aa145,1321
aa1322,3,O,3,101322,438aa146,1322
aa1323,4,X,2,101323,212aa101,1323
aa1324,2,O,1,101324,88aa42,1324
aa1325,2,X,2,101325,288aa145,1325
aa1326,3,X,3,101326,85aa37,1326
aa1327,4,X,5,101327,27aa116,1327
aa1328,1,O,4,101328,469aa95,1328
aa1329,1,O,2,101329,30aa78,1329
aa1330,2,O,2,101330,316aa27,1330
aa1331,4,O,3,101331,140aa136,1331
aa1332,3,O,2,101332,145aa121,1332
aa1333,1,O,3,101333,221aa139,1333
aa1334,4,O,4,101334,478aa123,1334
aa1335,1,X,2,101335,338aa55,1335
aa1336,3,O,5,101336,141aa123,1336
aa1337,2,O,3,101337,62aa88,1337
aa1338,1,O,3,101338,122aa15,1338
aa1339,1,O,5,101339,348aa139,1339
aa1340,1,X,3,101340,73aa43,1340
aa1341,2,X,4,101341,181aa63,1341
aa1342,4,X,2,101342,287aa20,1342
aa1343,1,O,1,101343,457aa21,1343
aa1344,1,O,3,101344,216aa148,1344
aa1345,2,X,5,101345,288aa1,1345
aa1346,2,X,2,101346,364aa11,1346
aa1347,3,O,5,101347,195aa35,1347
aa1348,2,X,4,101348,143aa3,1348
aa1349,2,X,3,101349,386aa44,1349
aa1350,4,O,1,101350,2aa96,1350
aa1351,3,X,2,101351,75aa95,1351
aa1352,2,O,5,101352,421aa100,1352
aa1353,2,X,2,101353,44aa140,1353
aa1354,2,X,3,101354,92aa34,1354
aa1355,4,O,5,101355,402aa24,1355
aa1356,3,O,3,101356,369aa122,1356
aa1357,4,X,3,101357,241aa40,1357
aa1358,4,O,1,101358,307aa97,1358
aa1359,4,X,4,101359,145aa115,1359
aa1360,3,X,5,101360,383aa1,1360
aa1361,4,X,2,101361,260aa140,1361
aa1362,2,X,3,101362,207aa82,1362
aa1363,4,O,4,101363,363aa150,1363
aa1364,2,X,4,101364,320aa24,1364
aa1365,4,O,3,101365,154aa9,1365
aa1366,3,O,3,101366,399aa57,1366
aa1367,1,X,2,101367,202aa148,1367
aa1368,4,O,1,101368,443aa130,1368
aa1369,2,X,2,101369,271aa21,1369
aa1370,1,O,2,101370,274aa7,1370
aa1371,1,O,2,101371,455aa21,1371
aa1372,1,O,3,101372,434aa52,1372
aa1373,2,O,1,101373,344aa75,1373
aa1374,4,X,2,101374,293aa23,1374
aa1375,1,X,2,101375,173aa60,1375
aa1376,1,O,5,101376,464aa147,1376
aa1377,1,O,1,101377,137aa56,1377
aa1378,4,O,4,101378,339aa131,1378
aa1379,4,O,2,101379,354aa27,1379
aa1380,4,X,1,101380,329aa84,1380
aa1381,3,X,1,101381,160aa99,1381
aa1382,2,O,5,101382,139aa71,1382
aa1383,4,X,1,101383,186aa132,1383
aa1384,4,O,3,101384,148aa7,1384
aa1385,4,O,2,101385,445aa38,1385
aa1386,1,O,4,101386,235aa63,1386
aa1387,2,X,1,101387,349aa8,1387
aa1388,1,O,3,101388,118aa6,1388
aa1389,1,O,4,101389,384aa150,1389
aa1390,1,X,5,101390,33aa25,1390
aa1391,2,X,5,101391,389aa30,1391
aa1392,3,O,1,101392,343aa129,1392
aa1393,2,X,3,101393,130aa49,1393
aa1394,1,O,4,101394,398aa73,1394
aa1395,2,X,3,101395,147aa24,1395
aa1396,1,O,4,101396,216aa30,1396
aa1397,3,X,5,101397,55aa67,1397
aa1398,1,O,3,101398,330aa77,1398
aa1399,1,X,3,101399,256aa25,1399
aa1400,3,X,3,101400,364aa69,1400
aa1401,2,O,1,101401,282aa31,1401
aa1402,4,O,5,101402,181aa54,1402
aa1403,1,X,2,101403,195aa74,1403
aa1404,4,X,4,101404,160aa108,1404
aa1405,1,O,2,101405,270aa85,1405
aa1406,1,O,2,101406,456aa54,1406
aa1407,1,O,4,101407,407aa111,1407
aa1408,4,O,1,101408,296aa36,1408
aa1409,1,O,1,101409,464aa103,1409
aa1410,3,O,5,101410,161aa146,1410
aa1411,2,O,3,101411,484aa112,1411
aa1412,3,O,5,101412,415aa107,1412
aa1413,3,X,2,101413,6aa99,1413
aa1414,4,X,5,101414,221aa39,1414
aa1415,4,X,3,101415,411aa20,1415
aa1416,4,X,5,101416,313aa8,1416
aa1417,1,X,5,101417,17aa129,1417
aa1418,1,O,2,101418,459aa3,1418
aa1419,3,X,3,101419,368aa68,1419
aa1420,4,O,5,101420,191aa125,1420
aa1421,4,O,5,101421,426aa136,1421
aa1422,1,O,1,101422,132aa85,1422
aa1423,4,O,3,101423,107aa147,1423
aa1424,4,X,4,101424,487aa56,1424
aa1425,2,X,2,101425,379aa39,1425
aa1426,3,X,2,101426,45aa12,1426
aa1427,3,X,5,101427,374aa18,1427
aa1428,2,O,5,101428,253aa60,1428
aa1429,2,O,3,101429,196aa70,1429
aa1430,4,O,3,101430,204aa92,1430
aa1431,4,O,4,101431,411aa66,1431
aa1432,3,X,2,101432,105aa59,1432
aa1433,3,O,5,101433,397aa146,1433
aa1434,2,X,3,101434,56aa110,1434
aa1435,1,X,4,101435,11aa51,1435
aa1436,1,X,4,101436,233aa78,1436
aa1437,3,X,5,101437,292aa94,1437
aa1438,2,O,4,101438,273aa116,1438
aa1439,2,X,1,101439,133aa47,1439
aa1440,1,X,2,101440,474aa26,1440
aa1441,2,X,5,101441,133aa114,1441
aa1442,3,O,2,101442,108aa106,1442
aa1443,4,O,4,101443,89aa135,1443
aa1444,3,O,4,101444,445aa32,1444
aa1445,4,X,5,101445,321aa138,1445
aa1446,1,X,5,101446,309aa97,1446
aa1447,3,X,1,101447,286aa27,1447
aa1448,1,O,3,101448,241aa110,1448
aa1449,4,X,4,101449,186aa31,1449
aa1450,2,X,2,101450,103aa147,1450
aa1451,2,O,2,101451,29aa143,1451
aa1452,3,X,4,101452,196aa82,1452
aa1453,3,O,2,101453,325aa37,1453
aa1454,2,O,4,101454,229aa19,1454
aa1455,2,O,5,101455,398aa78,1455
aa1456,1,X,2,101456,203aa32,1456
aa1457,2,O,5,101457,498aa121,1457
aa1458,1,X,1,101458,49aa137,1458
aa1459,4,O,3,101459,172aa15,1459
aa1460,3,X,5,101460,99aa113,1460
aa1461,4,O,4,101461,96aa149,1461
aa1462,3,O,5,101462,208aa86,1462
aa1463,3,O,4,101463,328aa126,1463
aa1464,2,O,5,101464,115aa145,1464
aa1465,4,X,5,101465,166aa19,1465
aa1466,1,X,2,101466,367aa58,1466
aa1467,3,X,4,101467,95aa78,1467
aa1468,4,X,5,101468,384aa54,1468
aa1469,2,O,5,101469,494aa28,1469
aa1470,1,O,3,101470,492aa137,1470
aa1471,2,X,4,101471,76aa119,1471
aa1472,1,O,1,101472,11aa107,1472
aa1473,4,O,2,101473,260aa137,1473
aa1474,3,O,2,101474,208aa136,1474
aa1475,3,O,5,101475,425aa19,1475
aa1476,3,X,3,101476,212aa44,1476
aa1477,3,X,1,101477,250aa85,1477
aa1478,4,X,2,101478,212aa116,1478
aa1479,3,O,4,101479,96aa47,1479
aa1480,3,X,2,101480,9aa97,1480
aa1481,4,O,2,101481,131aa33,1481
aa1482,4,O,3,101482,259aa112,1482
aa1483,1,X,4,101483,148aa98,1483
aa1484,2,O,2,101484,489aa6,1484
aa1485,4,O,5,101485,287aa116,1485
aa1486,1,X,3,101486,195aa90,1486
aa1487,2,X,4,101487,110aa109,1487
aa1488,1,X,5,101488,127aa83,1488
aa1489,3,X,1,101489,224aa78,1489
aa1490,2,O,4,101490,64aa9,1490
aa1491,1,O,4,101491,421aa121,1491
aa1492,1,O,5,101492,173aa112,1492
aa1493,4,X,3,101493,28aa62,1493
aa1494,3,X,4,101494,275aa118,1494
aa1495,3,X,4,101495,417aa135,1495
aa1496,1,X,1,101496,96aa146,1496
aa1497,2,O,1,101497,392aa130,1497
aa1498,4,X,5,101498,329aa1,1498
aa1499,4,O,3,101499,390aa57,1499
aa1500,2,O,3,101500,94aa52,1500
aa1501,1,O,1,101501,207aa36,1501
aa1502,2,X,1,101502,110aa119,1502
aa1503,1,X,1,101503,208aa49,1503
aa1504,4,X,1,101504,170aa42,1504
aa1505,1,O,3,101505,208aa144,1505
aa1506,1,O,1,101506,239aa135,1506
aa1507,1,O,3,101507,496aa57,1507
aa1508,2,O,3,101508,261aa104,1508
aa1509,4,O,3,101509,189aa34,1509
aa1510,3,O,1,101510,490aa44,1510
aa1511,1,O,2,101511,380aa45,1511
aa1512,2,X,1,101512,440aa124,1512
aa1513,1,O,3,101513,277aa52,1513
aa1514,1,X,1,101514,268aa42,1514
aa1515,3,X,2,101515,292aa21,1515
aa1516,1,O,2,101516,175aa102,1516
aa1517,3,O,5,101517,272aa110,1517
aa1518,1,O,1,101518,151aa39,1518
aa1519,2,X,4,101519,343aa1,1519
aa1520,4,X,2,101520,148aa12,1520
aa1521,2,X,2,101521,48aa71,1521
aa1522,1,X,1,101522,494aa15,1522
aa1523,2,O,1,101523,252aa71,1523
aa1524,3,O,4,101524,144aa55,1524
aa1525,4,X,1,101525,10aa90,1525
aa1526,3,X,4,101526,90aa21,1526
aa1527,4,X,3,101527,340aa97,1527
aa1528,1,O,3,101528,497aa108,1528
aa1529,4,O,4,101529,127aa130,1529
aa1530,4,X,2,101530,408aa123,1530
aa1531,3,O,2,101531,88aa116,1531
aa1532,3,O,3,101532,95aa15,1532
aa1533,3,X,3,101533,16aa44,1533
aa1534,3,O,5,101534,373aa140,1534
aa1535,1,X,1,101535,254aa87,1535
aa1536,4,X,1,101536,463aa120,1536
aa1537,1,O,3,101537,92aa32,1537
aa1538,1,O,5,101538,230aa77,1538
aa1539,1,O,1,101539,57aa21,1539
aa1540,2,X,4,101540,385aa98,1540
aa1541,2,O,5,101541,282aa4,1541
aa1542,4,X,2,101542,451aa50,1542
aa1543,2,X,3,101543,421aa66,1543
aa1544,4,O,2,101544,110aa125,1544
aa1545,2,O,3,101545,301aa79,1545
aa1546,3,X,4,101546,220aa5,1546
aa1547,1,O,1,101547,279aa78,1547
aa1548,1,X,1,101548,111aa49,1548
aa1549,3,O,3,101549,488aa132,1549
aa1550,2,X,4,101550,471aa132,1550
aa1551,2,X,2,101551,445aa40,1551
aa1552,3,O,5,101552,404aa143,1552
aa1553,4,O,5,101553,208aa35,1553
aa1554,1,O,5,101554,491aa18,1554
aa1555,4,O,4,101555,45aa123,1555
aa1556,2,O,5,101556,432aa14,1556
aa1557,4,O,4,101557,314aa138,1557
aa1558,3,O,4,101558,88aa5,1558
aa1559,1,X,2,101559,9aa92,1559
aa1560,2,O,1,101560,18aa150,1560
aa1561,2,O,5,101561,173aa49,1561
aa1562,3,O,2,101562,319aa77,1562
aa1563,2,X,4,101563,131aa5,1563
aa1564,1,X,5,101564,369aa109,1564
aa1565,1,X,1,101565,253aa52,1565
aa1566,1,X,2,101566,280aa51,1566
aa1567,3,O,4,101567,187aa105,1567
aa1568,4,O,1,101568,153aa104,1568
aa1569,3,O,2,101569,276aa73,1569
aa1570,4,O,5,101570,460aa12,1570
aa1571,1,X,4,101571,113aa56,1571
aa1572,2,O,3,101572,128aa135,1572
aa1573,3,X,4,101573,427aa89,1573
aa1574,4,O,3,101574,157aa82,1574
aa1575,2,X,3,101575,257aa76,1575
aa1576,3,X,4,101576,345aa107,1576
aa1577,3,O,3,101577,131aa29,1577
aa1578,4,X,1,101578,457aa145,1578
aa1579,4,X,1,101579,176aa57,1579
aa1580,4,X,3,101580,405aa50,1580
aa1581,3,X,5,101581,392aa70,1581
aa1582,2,X,2,101582,276aa108,1582
aa1583,4,X,5,101583,14aa137,1583
aa1584,1,O,5,101584,281aa127,1584
aa1585,3,X,4,101585,194aa128,1585
aa1586,3,X,3,101586,459aa105,1586
aa1587,2,O,1,101587,428aa9,1587
aa1588,4,X,5,101588,204aa138,1588
aa1589,1,O,3,101589,459aa39,1589
aa1590,2,X,5,101590,453aa53,1590
aa1591,1,X,4,101591,84aa127,1591
aa1592,3,X,2,101592,110aa17,1592
aa1593,2,O,4,101593,80aa140,1593
aa1594,1,O,2,101594,29aa45,1594
aa1595,1,O,2,101595,212aa3,1595
aa1596,1,O,1,101596,147aa125,1596
aa1597,4,O,5,101597,1aa136,1597
aa1598,4,X,5,101598,76aa82,1598
aa1599,1,X,2,101599,230aa53,1599
aa1600,2,X,2,101600,252aa133,1600
aa1601,1,O,5,101601,374aa14,1601
aa1602,4,O,1,101602,455aa65,1602
aa1603,1,O,3,101603,419aa83,1603
aa1604,3,X,2,101604,284aa101,1604
aa1605,4,O,2,101605,267aa8,1605
aa1606,3,X,5,101606,415aa12,1606
aa1607,4,O,5,101607,173aa117,1607
aa1608,2,X,1,101608,219aa2,1608
aa1609,2,X,4,101609,442aa43,1609
aa1610,2,X,5,101610,69aa80,1610
aa1611,3,X,5,101611,302aa123,1611
aa1612,4,X,3,101612,412aa86,1612
aa1613,4,O,3,101613,193aa37,1613
aa1614,2,X,5,101614,438aa82,1614
aa1615,1,X,2,101615,400aa130,1615
aa1616,3,O,3,101616,419aa142,1616
aa1617,1,O,1,101617,245aa135,1617
aa1618,3,O,3,101618,52aa137,1618
aa1619,2,X,2,101619,283aa139,1619
aa1620,4,X,5,101620,381aa50,1620
aa1621,3,X,5,101621,218aa150,1621
aa1622,1,O,2,101622,120aa75,1622
aa1623,2,O,4,101623,476aa130,1623
aa1624,2,X,5,101624,472aa130,1624
aa1625,3,X,4,101625,152aa132,1625
aa1626,4,O,2,101626,253aa132,1626
aa1627,1,O,4,101627,273aa10,1627
aa1628,1,O,3,101628,410aa81,1628
aa1629,2,X,4,101629,94aa145,1629
aa1630,2,X,3,101630,259aa85,1630
aa1631,2,X,4,101631,358aa105,1631
aa1632,4,O,5,101632,24aa121,1632
aa1633,4,X,3,101633,250aa128,1633
aa1634,2,O,2,101634,496aa135,1634
aa1635,1,O,2,101635,480aa98,1635
aa1636,3,X,5,101636,398aa107,1636
aa1637,2,O,3,101637,198aa6,1637
aa1638,4,X,4,101638,286aa84,1638
aa1639,2,O,2,101639,207aa8,1639
aa1640,2,X,5,101640,58aa117,1640
aa1641,2,X,3,101641,161aa38,1641
aa1642,2,O,3,101642,397aa103,1642
aa1643,3,O,1,101643,222aa65,1643
aa1644,4,O,2,101644,239aa60,1644
aa1645,2,X,2,101645,348aa70,1645
aa1646,2,X,3,101646,79aa95,1646
aa1647,4,X,2,101647,201aa78,1647
aa1648,3,X,5,101648,204aa137,1648
aa1649,2,X,5,101649,350aa67,1649
aa1650,3,O,2,101650,173aa51,1650
aa1651,4,O,2,101651,239aa94,1651
aa1652,1,X,1,101652,130aa47,1652
aa1653,1,O,4,101653,109aa1,1653
aa1654,1,O,4,101654,273aa54,1654
aa1655,1,O,1,101655,347aa106,1655
aa1656,2,O,4,101656,56aa81,1656
aa1657,2,X,5,101657,439aa128,1657
aa1658,3,O,2,101658,457aa70,1658
aa1659,2,X,3,101659,7aa3,1659
aa1660,1,O,1,101660,389aa69,1660
aa1661,3,O,5,101661,113aa6,1661
aa1662,1,X,2,101662,76aa137,1662
aa1663,2,O,4,101663,293aa59,1663
aa1664,4,O,4,101664,482aa55,1664
aa1665,2,O,1,101665,19aa12,1665
aa1666,4,O,2,101666,110aa47,1666
aa1667,1,X,3,101667,51aa21,1667
aa1668,1,X,5,101668,263aa39,1668
aa1669,3,O,4,101669,367aa100,1669
aa1670,2,X,5,101670,80aa22,1670
aa1671,1,O,4,101671,143aa91,1671
aa1672,3,X,1,101672,436aa86,1672
aa1673,4,X,1,101673,466aa4,1673
aa1674,1,O,2,101674,31aa132,1674
aa1675,4,X,4,101675,254aa48,1675
aa1676,2,O,4,101676,242aa102,1676
aa1677,4,O,5,101677,65aa133,1677
aa1678,3,X,4,101678,71aa111,1678
aa1679,1,O,4,101679,264aa118,1679
aa1680,2,O,2,101680,274aa139,1680
aa1681,2,X,4,101681,249aa8,1681
aa1682,2,O,1,101682,474aa10,1682
aa1683,2,X,5,101683,175aa133,1683
aa1684,4,X,1,101684,372aa52,1684
aa1685,4,O,5,101685,404aa100,1685
aa1686,2,O,4,101686,347aa49,1686
aa1687,2,X,3,101687,107aa137,1687
aa1688,3,O,5,101688,61aa143,1688
aa1689,3,X,4,101689,243aa6,1689
aa1690,1,X,5,101690,357aa114,1690
aa1691,1,X,5,101691,355aa35,1691
aa1692,4,O,2,101692,67aa103,1692
aa1693,4,X,1,101693,393aa18,1693
aa1694,3,X,3,101694,25aa91,1694
aa1695,2,X,2,101695,10aa88,1695
aa1696,2,O,4,101696,387aa1,1696
aa1697,1,O,2,101697,45aa87,1697
aa1698,2,O,5,101698,75aa150,1698
aa1699,1,X,4,101699,136aa147,1699
aa1700,2,X,4,101700,423aa6,1700
aa1701,4,O,2,101701,168aa86,1701
aa1702,1,O,5,101702,356aa71,1702
aa1703,2,X,4,101703,18aa32,1703
aa1704,1,X,2,101704,180aa64,1704
aa1705,2,X,4,101705,283aa8,1705
aa1706,1,O,4,101706,313aa11,1706
aa1707,2,X,1,101707,467aa11,1707
aa1708,1,X,2,101708,27aa115,1708
aa1709,1,X,3,101709,303aa112,1709
aa1710,2,X,3,101710,37aa22,1710
aa1711,1,X,4,101711,191aa12,1711
aa1712,3,O,1,101712,17aa100,1712
aa1713,4,O,1,101713,430aa117,1713
aa1714,4,O,5,101714,360aa100,1714
aa1715,2,O,3,101715,222aa139,1715
aa1716,4,X,1,101716,274aa64,1716
aa1717,1,O,3,101717,123aa128,1717
aa1718,2,O,3,101718,27aa44,1718
aa1719,2,O,3,101719,418aa75,1719
aa1720,3,O,3,101720,437aa59,1720
aa1721,1,X,1,101721,117aa20,1721
aa1722,4,O,2,101722,419aa145,1722
aa1723,2,O,4,101723,11aa82,1723
aa1724,2,O,2,101724,174aa128,1724
aa1725,4,X,5,101725,16aa106,1725
aa1726,4,X,5,101726,351aa24,1726
aa1727,3,X,3,101727,232aa143,1727
aa1728,4,O,1,101728,253aa95,1728
aa1729,1,X,4,101729,442aa101,1729
aa1730,2,O,4,101730,420aa118,1730
aa1731,2,O,4,101731,490aa98,1731
aa1732,4,X,5,101732,172aa43,1732
aa1733,4,X,2,101733,247aa132,1733
aa1734,3,X,5,101734,423aa102,1734
aa1735,3,X,1,101735,118aa26,1735
aa1736,2,O,4,101736,364aa135,1736
aa1737,4,X,5,101737,289aa39,1737
aa1738,2,X,5,101738,334aa108,1738
aa1739,1,O,5,101739,177aa118,1739
aa1740,4,X,5,101740,452aa80,1740
aa1741,1,O,3,101741,269aa122,1741
aa1742,2,X,1,101742,349aa91,1742
aa1743,2,X,2,101743,327aa45,1743
aa1744,3,X,1,101744,71aa44,1744
aa1745,3,X,4,101745,134aa29,1745
aa1746,2,X,5,101746,484aa34,1746
aa1747,1,X,1,101747,260aa71,1747
aa1748,4,O,2,101748,256aa6,1748
aa1749,1,O,5,101749,36aa141,1749
aa1750,1,O,1,101750,246aa98,1750
aa1751,4,X,2,101751,191aa3,1751
aa1752,2,O,1,101752,385aa99,1752
aa1753,4,X,1,101753,361aa48,1753
aa1754,1,O,5,101754,359aa118,1754
aa1755,1,X,1,101755,417aa47,1755
aa1756,2,X,1,101756,193aa8,1756
aa1757,3,O,1,101757,315aa121,1757
aa1758,3,X,2,101758,53aa90,1758
aa1759,4,X,4,101759,433aa96,1759
aa1760,4,X,4,101760,341aa103,1760
aa1761,2,X,1,101761,75aa26,1761
aa1762,2,O,2,101762,423aa2,1762
aa1763,4,X,3,101763,119aa18,1763
aa1764,1,X,2,101764,54aa113,1764
aa1765,4,X,5,101765,500aa33,1765
aa1766,3,X,2,101766,341aa62,1766
aa1767,1,O,4,101767,479aa38,1767
aa1768,1,X,3,101768,313aa6,1768
aa1769,1,O,4,101769,411aa15,1769
aa1770,1,O,1,101770,434aa116,1770
aa1771,1,X,4,101771,451aa9,1771
aa1772,1,X,4,101772,122aa49,1772
aa1773,4,O,1,101773,422aa50,1773
aa1774,3,X,3,101774,128aa60,1774
aa1775,3,X,4,101775,273aa130,1775
aa1776,2,X,4,101776,323aa74,1776
aa1777,3,O,4,101777,349aa54,1777
aa1778,4,O,2,101778,249aa48,1778
aa1779,4,O,2,101779,419aa111,1779
aa1780,4,X,5,101780,486aa24,1780
aa1781,4,O,3,101781,165aa121,1781
aa1782,2,X,3,101782,190aa45,1782
aa1783,1,X,3,101783,88aa74,1783
aa1784,1,O,2,101784,354aa8,1784
aa1785,4,X,3,101785,29aa44,1785
aa1786,1,O,2,101786,141aa65,1786
aa1787,4,X,2,101787,264aa55,1787
aa1788,2,O,1,101788,354aa137,1788
aa1789,4,X,2,101789,374aa139,1789
aa1790,2,O,3,101790,377aa65,1790
aa1791,2,O,1,101791,337aa45,1791
aa1792,3,O,3,101792,166aa11,1792
aa1793,4,X,3,101793,57aa60,1793
aa1794,2,O,1,101794,113aa75,1794
aa1795,2,O,1,101795,277aa129,1795
aa1796,3,O,5,101796,363aa99,1796
aa1797,2,O,1,101797,72aa107,1797
aa1798,2,O,2,101798,420aa122,1798
aa1799,3,O,4,101799,388aa112,1799
aa1800,4,O,1,101800,103aa58,1800
aa1801,4,O,4,101801,324aa75,1801
aa1802,3,O,2,101802,204aa103,1802
aa1803,2,X,5,101803,107aa147,1803
aa1804,4,O,1,101804,394aa4,1804
aa1805,3,O,2,101805,470aa7,1805
aa1806,2,O,5,101806,246aa43,1806
aa1807,2,O,2,101807,377aa101,1807
aa1808,1,O,1,101808,411aa65,1808
aa1809,4,X,3,101809,315aa127,1809
aa1810,4,X,4,101810,308aa5,1810
aa1811,2,O,3,101811,78aa67,1811
aa1812,2,X,4,101812,385aa43,1812
aa1813,1,X,4,101813,279aa125,1813
aa1814,2,O,4,101814,294aa93,1814
aa1815,1,O,2,101815,18aa68,1815
aa1816,4,O,4,101816,46aa56,1816
aa1817,1,O,5,101817,421aa36,1817
aa1818,2,O,1,101818,483aa91,1818
aa1819,1,X,4,101819,496aa9,1819
aa1820,4,O,3,101820,139aa80,1820
aa1821,3,O,1,101821,25aa9,1821
aa1822,4,X,5,101822,320aa103,1822
aa1823,1,O,4,101823,416aa16,1823
aa1824,2,O,5,101824,489aa35,1824
aa1825,4,O,1,101825,253aa24,1825
aa1826,2,X,2,101826,267aa87,1826
aa1827,3,X,3,101827,469aa126,1827
aa1828,4,X,3,101828,143aa113,1828
aa1829,1,X,3,101829,358aa148,1829
aa1830,2,X,1,101830,219aa80,1830
aa1831,4,X,2,101831,381aa66,1831
aa1832,3,O,4,101832,59aa1,1832
aa1833,1,O,3,101833,457aa137,1833
aa1834,4,X,2,101834,484aa63,1834
aa1835,1,X,5,101835,213aa23,1835
aa1836,3,O,4,101836,375aa146,1836
aa1837,1,O,5,101837,370aa34,1837
aa1838,1,X,3,101838,326aa80,1838
aa1839,1,X,5,101839,238aa21,1839
aa1840,3,O,2,101840,223aa118,1840
aa1841,3,O,1,101841,20aa107,1841
aa1842,3,X,1,101842,64aa142,1842
aa1843,1,X,3,101843,367aa123,1843
aa1844,1,O,1,101844,119aa61,1844
aa1845,2,O,1,101845,399aa133,1845
aa1846,1,X,3,101846,241aa77,1846
aa1847,2,X,2,101847,144aa141,1847
aa1848,1,O,5,101848,410aa138,1848
aa1849,2,O,5,101849,89aa127,1849
aa1850,4,X,4,101850,350aa77,1850
aa1851,3,X,4,101851,305aa36,1851
aa1852,2,X,1,101852,279aa80,1852
aa1853,4,X,1,101853,351aa107,1853
aa1854,4,O,3,101854,130aa131,1854
aa1855,1,X,5,101855,395aa107,1855
aa1856,2,X,2,101856,324aa12,1856
aa1857,3,O,3,101857,278aa116,1857
aa1858,2,X,2,101858,414aa13,1858
aa1859,2,X,2,101859,451aa80,1859
aa1860,2,X,4,101860,187aa39,1860
aa1861,3,X,1,101861,5aa26,1861
aa1862,4,O,4,101862,47aa105,1862
aa1863,3,O,4,101863,243aa90,1863
aa1864,1,O,3,101864,256aa64,1864
aa1865,4,O,2,101865,486aa40,1865
aa1866,3,X,2,101866,367aa63,1866
aa1867,1,X,1,101867,86aa101,1867
aa1868,3,X,4,101868,420aa7,1868
aa1869,4,O,5,101869,330aa91,1869
aa1870,3,X,5,101870,240aa137,1870
aa1871,2,X,3,101871,204aa25,1871
aa1872,2,O,2,101872,396aa110,1872
aa1873,4,O,2,101873,205aa79,1873
aa1874,3,O,5,101874,172aa20,1874
aa1875,2,O,3,101875,166aa86,1875
aa1876,4,X,5,101876,110aa149,1876
aa1877,3,O,2,101877,296aa54,1877
aa1878,1,O,3,101878,466aa56,1878
aa1879,3,X,3,101879,376aa72,1879
aa1880,1,O,2,101880,146aa73,1880
aa1881,2,O,5,101881,335aa46,1881
aa1882,3,X,2,101882,458aa128,1882
aa1883,4,X,2,101883,133aa37,1883
aa1884,2,O,4,101884,257aa2,1884
aa1885,4,O,3,101885,185aa133,1885
aa1886,3,O,1,101886,304aa2,1886
aa1887,2,X,4,101887,248aa40,1887
aa1888,2,X,5,101888,433aa6,1888
aa1889,2,O,5,101889,495aa8,1889
aa1890,3,X,2,101890,333aa53,1890
aa1891,2,O,2,101891,225aa137,1891
aa1892,3,O,4,101892,41aa139,1892
aa1893,3,X,1,101893,407aa134,1893
aa1894,2,O,5,101894,465aa145,1894
aa1895,4,O,1,101895,11aa4,1895
aa1896,1,X,1,101896,19aa107,1896
aa1897,1,X,4,101897,337aa1,1897
aa1898,1,X,4,101898,191aa98,1898
aa1899,1,O,5,101899,292aa20,1899
aa1900,1,X,4,101900,137aa89,1900
aa1901,2,X,3,101901,309aa67,1901
aa1902,2,X,5,101902,110aa103,1902
aa1903,3,X,2,101903,374aa25,1903
aa1904,2,O,4,101904,318aa141,1904
aa1905,1,O,5,101905,358aa52,1905
aa1906,3,O,1,101906,33aa27,1906
aa1907,4,X,5,101907,106aa140,1907
aa1908,4,O,3,101908,25aa6,1908
aa1909,1,X,3,101909,490aa17,1909
aa1910,4,O,3,101910,154aa12,1910
aa1911,2,X,1,101911,376aa17,1911
aa1912,1,O,4,101912,205aa57,1912
aa1913,3,O,2,101913,210aa46,1913
aa1914,1,X,2,101914,273aa126,1914
aa1915,4,X,3,101915,173aa139,1915
aa1916,3,O,1,101916,302aa89,1916
aa1917,2,X,4,101917,111aa12,1917
aa1918,1,X,5,101918,88aa93,1918
aa1919,1,O,5,101919,197aa66,1919
aa1920,4,O,5,101920,328aa6,1920
aa1921,3,O,4,101921,19aa46,1921
aa1922,1,O,1,101922,51aa30,1922
aa1923,1,O,3,101923,49aa66,1923
aa1924,3,O,3,101924,497aa147,1924
aa1925,4,X,5,101925,210aa42,1925
aa1926,3,X,4,101926,283aa71,1926
aa1927,1,O,4,101927,470aa150,1927
